"1","71","#71"
"2","71","#71"
"3","1 jour 1 destin","#1jour1destin"
"4","100% mag","#100%mag"
"5","13 heures JT","#jt13h"
"6","20 heures JT","#jt20h"
"7","24 heures chrono","#24hChrono"
"8","28 minutes le mag","#28min"
"9","50 minutes inside","#50mnInside"
"10","60 Secondes Chrono","#60SC"
"11","66 minutes le mag","#66minutes"
"12","90 minutes enquêtes","#90enquetes"
"13","90210 Beverly Hills","#90210"
"14","A chacun son histoire","#ACSH"
"15","A mourir de rire","#amdr"
"16","A vos recettes","#avosrecettes"
"17","A vos régions","#avosregions"
"18","Affaires non classées","#AffairesNC"
"19","Affaires non classées","#affairesnonclassees"
"20","Affaires privées","#aprivees"
"21","Allo Docteur","#allodoc"
"22","Allo Nabila","#AlloNabilla"
"23","Amazing Grace","#amazingrace"
"24","AMAZING RACE","#AMAZINGRACE"
"25","American wives","#ArmyWives"
"26","Archipels","#archipels"
"27","Arte","#arte"
"28","Au coeur de l’enquête","#aucoeurdelenquete"
"29","Auto Moto","#Automoto"
"30","Baffie est un sale gosse","#beusg"
"31","Bas les cœurs","#blc"
"32","Belle toute nue","#btn"
"33","Beverly Hills 90210","#90210"
"34","Bienvenue chez Cauet","#bcc"
"35","Blue Bloods","#BlueBloods"
"36","Body of proof","#BoP"
"37","Bones","#Bones"
"38","Bourdin Direct","#bourdindirect"
"39","Braquo","#braquo"
"40","Breaking Bad","#BreakingBad"
"41","Buffy contre les vampires","#Buffy"
"42","C à vous","#cavous"
"43","C dans l’air","#cdanslair"
"44","C politique","#cpolitique"
"45","C’est ma vie","#emv"
"46","C’est pas sorcier","#cpsorcier"
"47","Castle","#Castle"
"48","Californication","#Californication"
"49","Ca nous ressemble","#cnr"
"50","Caméra Café","#CameraCafe"
"51","Camping Paradis","#CampingParadis"
"52","Capital","#capital"
"53","Castle","#Castle"
"54","Ce soir (ou jamais !)","#csoj"
"55","Ce Soir Avec Arthur","#CSaArthur"
"56","Champion’s League","#Foot"
"57","Clé sur porte","#CleSurPorte"
"58","Club RTL","#ClubRTL"
"59","Cold Case","#ColdCase"
"60","Complément d’enquête","#cdenquete"
"61","Confessions intimes","#ConfessionsIntimes"
"62","Controverse","#Controverse"
"63","Cougar Town","#CougarTown"
"64","Coupe du Monde","#CDM"
"65","Coupe du Monde 2014","#CDM2014"
"66","Coûte que Coûte","#CouteQueCoute"
"67","D&Co","#DeCo"
"68","Dance Street","#dancestreet"
"69","Danse avec les stars","#DALS"
"70","DEAD ZONE série","#DEADZONE"
"71","Des chiffres et des lettres","#dcdl"
"72","Des paroles et des actes","#DPDA"
"73","Des racines et des ailes","#drda"
"74","Desperate Housewives","#DH"
"75","Desperate Housewives","#DesperateHousewives"
"76","Dexter","#Dexter"
"77","Direct Auto","#directauto"
"78","Docs de choc","#DocsDeChoc"
"79","Downton Abbey","#Downton"
"80","Dr House","#DrHouse"
"81","Drop Dead Diva","#DropDeadDiva"
"82","En quête d’Actualités","#enqueteD8"
"83","En quête de Solutions","#enqueteD8"
"84","Encore une chance","#EUC"
"85","Engrenages","#Engrenages"
"86","Enquêtes","#Enquetes"
"87","Enquêtes exclusives","#ee"
"88","Envoyé Spécial","#envoyespecial"
"89","Esprits Criminels","#EspritsCriminels"
"90","Esprits Criminels : unité Parallèle","#EspCrimUP"
"91","Face à Face","#FaceAFace"
"92","Faites entrer l’accusé","#feaccuse"
"93","FBI : duo très spécial","#FBIdts"
"94","Fidele au poste","#FAPF4"
"95","Fort Boyard","#FortBoyard"
"96","Friends","#Friends"
"97","Fringe","#fringe"
"98","Game of Thrones","#GameOfThrones"
"99","Glee","#Glee"
"100","Go For Zero","#GoForZero"
"101","Gossip Girl","#GossipGirl"
"102","Grand Angle","#GrandAngle"
"103","Grey’s Anatomy","#GreysAnatomy"
"104","Groland","#groland"
"105","H","#Hlaserie"
"106","Hawaii 5-0","#Hawaii50"
"107","Hostages","#Hostages"
"108","How I Met Your Mother","#HIMYM"
"109","Hollywood Girl 2","#HG2"
"110","Hollywood girls 2 le mag","#HollywoodGirls2"
"111","Homeland","#Homeland"
"112","I Comme","#Icomme"
"113","Ile des Vérités 2","#IDV2"
"114","Images à l’appui","#ImagesAlAppui"
"115","Indices","#Indices"
"116","Investigations","#Investigations"
"117","Joséphine Ange Gardien","#Joséphine"
"118","Journal du Hard","#journalduhard"
"119","JT France3 12-13","#JT1213"
"120","JT France3 19-20","#JT1920"
"121","Kaamelott","#kaamelott"
"122","KAIRA SHOPPING","#KAIRASHOPPING"
"123","Koh-lanta","#KohLanta"
"124","L’amour est aveugle","#laea"
"125","L’Amour est Dans le Pré","#ADP"
"126","L’ecole des fans","#edf"
"127","L’invité","#Linvite"
"128","La Belle et Ses Princes Presques Parfaits","#LBESP"
"129","La grande balade","#GrandeBalade"
"130","La Meilleure Danse","#MeilleureDanse"
"131","La Météo","#Meteo"
"132","La mode, la mode, la mode","#lmlmlm"
"133","Langue de bois s’abstenir","#LDBA"
"134","Le 13 heures TF1","#Le13h"
"135","Le 20 heures TF1","#Le20h"
"136","Le Grand 8","#LeGrand8"
"137","Le Grand Journal","#LGJ"
"138","Le Grand Webzé","#lgw"
"139","Le journal","#LeJournal"
"140","Le JT D8","#JTD8"
"141","Le juste prix","#ljp"
"142","Le magazine de la santé","#magsante"
"143","Le monde en face","#lmef"
"144","Le Petit Journal","#LPJ"
"145","Le Vinvinteur","#lvvt"
"146","Le Zapping C+","#zapping"
"147","Les Anges de la télé-réalité","#LesAngesTVR"
"148","Les Anges de la Téléréalité saison 4","#LesAnges4"
"149","Les animaux de la 8","#lesanimauxdela8"
"150","Les Diables Rouges","#Foot"
"151","Les douze coups de midi","#Les12CDM"
"152","Les experts","#LesExperts"
"153","Les Explôts","#explots"
"154","Les fashion stylistes","#fashionstylistes"
"155","Les Gens d’en Bas","#LGDEB"
"156","les guignols de l’Info","#lgdi"
"157","Les Maternelles","#maternelles"
"158","Les Mystères de L’Amour","#LMDA"
"159","Les orages de la vie","#ODLV"
"160","Les reines du shopping","#lesreinesdushopping"
"161","Les Simpson","#LesSimpson"
"162","Leur secret du bonheur","#sdbonheur"
"163","Leverage","#leverage"
"164","Lie to me","#LieToMe"
"165","Mad Men","#MadMen"
"166","Maison à vendre","#MAV"
"167","Marc Herman","#MarcHerman"
"168","Masterchef","#MasterChef"
"169","Medias le magazine","#mediaslemag"
"170","Medium","#Medium"
"171","Mentalist","#Mentalist"
"172","MiamiInk","#MiamiInk"
"173","Money Drop","#MoneyDrop"
"174","Monte le son","#monteleson"
"175","MORNING STAR","#MorningStar"
"176","Moteurs","#Moteurs"
"177","Moto2","#MotoGP"
"178","Mots Croisés","#motscroises"
"179","Naruto","#naruto"
"180","NCIS","#NCIS"
"181","NCIS : Los Angeles","#NCISla"
"182","Ne le dis à personne","#nldap"
"183","Non Stop BFMTV","#nonstop"
"184","Nouvelle Star","#NouvelleStar"
"185","Ô mix","#omix"
"186","On n’demande qu’à en rire","#ondar"
"187","On n’est pas couché","#onpc"
"188","On n’est pas que des cobayes","#cobayesf5"
"189","On ne parle que de ça","#ONPQDC"
"190","On refait le monde","#ORLM"
"191","ONE PIECE manga","#ONEPIECE"
"192","Palmashow","#Palmashow"
"193","Pekin Express","#PekinExpress"
"194","Place royale","#PlaceRoyale"
"195","Plug RTL","#PlugRTL"
"196","Plug Tribus","#PlugTribus"
"197","Plus Belle la Vie","#pblv"
"198","Prime Suspect","#PrimeSuspect"
"199","Pyramide","#Pyramide"
"200","Quand la musique est bonne","#qlmeb"
"201","Quatre mariages pour une lune de miel","#qmpuldm"
"202","Question pour un champion","#QPUC"
"203","Qui veut épouser mon fils ?","#QVEMF"
"204","Qui veut gagner des millions","#qvgdm"
"205","R.I.P. chasseurs de fantômes série doc","#RIPFANTOMES"
"206","Real Humans","#realhumans"
"207","Rendez-vous en terre inconnue","#RDVeTI"
"208","Reporters","#Reporters"
"209","Rescue Me","#RescueMe"
"210","Réunion de famille","#rdfamille"
"211","Revenge","#Revenge"
"212","Revu et corrigé","#revucorrige"
"213","RTL +","#RTLplus"
"214","RTL sport","#RTLsport"
"215","RTL TVI","#RTLTVI"
"216","Salut les terriens","#slt"
"217","Samedi Sport","#samedisport"
"218","Sampler","#Sampler"
"219","Scènes de ménages","#sdm"
"220","Scènes de ménages","#scenesdemenages"
"221","Secret Story","#SecretStory"
"222","Secret Story","#SS8"
"223","Secrets d’Histoire","#sdHistoire"
"224","Séduis-moi si tu peux","#SMSTP"
"225","Sept à huit","#7A8"
"226","Sept à huit","#septahuit"
"227","Sex & the City","#SATC"
"228","Soda","#soda"
"229","soir 3","#soir3"
"230","Sous le soleil","#SousLeSoleilTMC"
"231","Spartacus","#Spartacus"
"232","Stade 2","#stade2"
"233","Star Academy","#StarAc"
"234","Strip Tease","#striptease"
"235","Studio4.0","#StudioF4"
"236","Supernatural","#supernatural"
"237","Taratata","#taratata"
"238","Télé Achat Direct8","#teleachatd8"
"239","Telefoot","#Telefoot"
"240","Télématin","#telematin"
"241","Tellement vrai edition spéciale","#tves"
"242","Tellement Vrai","#TellementVrai"
"243","Teenwolf","#TeenWolf"
"244","Terra Nova","#terranova"
"245","Tfou","#tfou"
"246","Thalassa","#thalassa"
"247","The Good Wife","#TheGoodWife"
"248","The Voice","#TheVoice"
"249","TNT","#TNT"
"250","Top Chef","#TopChef"
"251","Top Models","#TopModels"
"252","Total Blackout","#TotalBlackout"
"253","Touche Pas A Mon Poste","#TPMP"
"254","Tour de France","#TDF"
"255","Tour de France 2014","#TDF2014"
"256","TOUS LES TOP DONT TOP 80 / TOP 90","#LESTOPSD17"
"257","Tout le monde en a parlé","#TLMEAP"
"258","Tout le monde veut prendre sa place","#tlmvpsp"
"259","Tout s’explique","#ToutsExplique"
"260","Toute une histoire","#t1histoire"
"261","True Blood","#TrueBloodNT1"
"262","Un Diner Presque Parfait","#DPP"
"263","Un jour un destin","#ujud"
"264","Un monde, 6 jeunes","#1monde6j"
"265","Une famille en or","#ufeo"
"266","Une famille formidable","#FF"
"267","Vampire Diaries","#TVD"
"268","Vampire Diaries","#VampireDiariesNT1"
"269","Vendredi tout est permis","#VTEP"
"270","Very Bad Blagues","#VBB"
"271","Vient diner dans ta cité","#ViensdinerF4"
"272","Viking","#vikings"
"273","Vivement dimanche","#vivementdimanche"
"274","Vous êtes en direct","#Morandini"
"275","Vous trouvez ca normal","#vtcn"
"276","Voyage au bout de la nuit","#VABDLN"
"277","Walking Dead","#WalkingDead"
"278","Walking Dead","#WalkingDeadNT1"
"279","X-factor","#xFactor"
"280","ZAPPING","#ZAPPINGD17"
"281","Tellement vrai : la quotidienne","#TellementVrai"
"282","Touche pas à mon poste !","#TPMP"
